score,priority,urgencia,horas_restantes,organismo,region,nombre,monto,cliente_previo,organismo_prioritario,oportunidad_estructural,establecimiento_red,matched_high,matched_medium,codigo,fecha_publicacion,fecha_cierre,url
25,MEDIA,NORMAL,,,,Orden de Compra generada por invitación a compra ágil: 3958-72-COT26  (mesas y sillas FAEP),,False,False,FAEP municipios pre-traspaso a SLEP,,,FAEP,3958-147-AG26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=3958-147-AG26
25,ALTA,NORMAL,,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Región de Valparaíso,Servicio de contratación de suministro de Mantención y Reparación de Jardines Infantiles Salas cunas y Oficinas Regionales Fundación Integra Valparaíso,350554970.0,False,False,,,jardines infantiles · salas cuna,Integra,707419-31-LP26,2026-07-27T17:51:00,2026-08-17T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=707419-31-LP26
25,ALTA,NORMAL,,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE LOS ÁLAMOS,Región del Maule,CONVENIO DE SUMINISTRO DE COMPRA DE  KILÓMETROS PARA SALIDAS PEDAGÓGICAS,,False,True,,,salidas pedagógicas,servicio local de educación,1389488-36-LR26,2026-07-20T15:44:35.833,2026-08-19T16:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1389488-36-LR26
25,ALTA,NORMAL,,I MUNICIPALIDAD DE CHILLAN,Región del Biobío,Curso de perfeccionamiento sobre estrategias e instrumentos de evaluación para docentes,,False,True,,,perfeccionamiento,,2479-2-LS10,2010-12-17T10:43:32.547,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2479-2-LS10
20,MEDIA,NORMAL,,I MUNICIPALIDAD DE LOS ANGELES,Región del Biobío,SERVICIO DE CAPACITACIÓN APLICACIÓN Y CORRECCIÓN DE ADOS II,10000000.0,False,True,,,,capacitación,2409-35-LE26,2026-07-24T13:16:46.263,2026-08-05T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2409-35-LE26
20,MEDIA,NORMAL,,I MUNICIPALIDAD DE PURRANQUE,Región de los Lagos,SERVICIO DE CAPACITACION A FUNCIONARIOS,,False,True,,,,capacitación,584146-8-LE26,2026-07-22T15:19:00,2026-08-05T15:43:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=584146-8-LE26
20,ALTA,NORMAL,,SERVICIO LOCAL DE EDUCACION DE PUERTO CORDILLERA,Región de Coquimbo,CAPACITACIÓN Y ASESORIA GESTIÓN  ESTRATÉGICA DE LA CONVIVENCIA ESCOLAR ESCUELA LUIS CRUZ MARTÍNEZ,6361439.0,False,False,,,convivencia escolar,servicio local de educación · capacitación,1002588-84-L126,2026-07-31T12:10:52.733,2026-08-06T13:45:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1002588-84-L126
20,ALTA,NORMAL,,I MUNICIPALIDAD DE CHILLAN,Región del Ñuble,SERVICIO DE PRODUCCION DÍA DEL DIRIGENTE SOCIAL Y,22500000.0,False,True,,,DIA,,2467-86-LE26,2026-07-27T17:32:15.43,2026-08-06T11:08:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2467-86-LE26
20,ALTA,NORMAL,,JUNTA NACIONAL DE JARDINES         INFANTILES,Región de Los Ríos,MANTENCIÓN DE JARDINES INFANTILES,,False,False,,,jardines infantiles,JUNJI,5538-13-LP26,2026-07-21T17:03:00.87,2026-08-05T18:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=5538-13-LP26
20,MEDIA,NORMAL,,I MUNICIPALIDAD DE LOS ANGELES,Región del Biobío,SERVICIO DE CAPACITACIÓN PARA EMPRENDEDORES DE LA COMUNA DE LOS ANGELES 2026,,False,True,,,,capacitación,2408-173-L126,2026-07-28T08:39:00,2026-08-06T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2408-173-L126
20,ALTA,NORMAL,,JUNTA NACIONAL DE JARDINES         INFANTILES,Región Metropolitana de Santiago,CURSO “LIDERAZGO PEDAGÓGICO PARA LA GESTIÓN DESDE EL ENFOQUE DE DERECHOS Y LA TRANSFORMACIÓN DE LA PRÁCTICA DE JARDINES INFANTILES VTF Y SLEP EN MODALIDAD E- LEARNING,,False,False,,,jardines infantiles,JUNJI · SLEP,599-18-LP26,2026-07-20T18:17:00,2026-08-10T18:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=599-18-LP26
20,ALTA,NORMAL,,JUNTA NACIONAL DE JARDINES         INFANTILES,Región Metropolitana de Santiago,TEXTOS Y MATERIAL BIBLIOGRÁFICO COLECCIÓN 2026 DEL PLAN FOMENTO DE LECTURA PRIMERA INFANCIA PROGRAMA P01 Y P02 DE LA JUNTA NACIONAL DE JARDINES INFANTILES,,False,False,,,jardines infantiles,primera infancia · JUNJI,599-21-LR26,2026-07-07T17:28:03.44,2026-08-06T18:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=599-21-LR26
20,ALTA,NORMAL,,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA SANTA ROSA,Región Metropolitana de Santiago,SERVICIO DE MANTENCIÓN MENOR EN LOS ESTABLECIMIENTOS EDUCACIONALES Y JARDINES INFANTILES,,False,False,,,jardines infantiles,SLEP · servicio local de educación,1339159-22-LR26,2026-07-08T16:06:00,2026-08-07T18:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1339159-22-LR26
20,MEDIA,NORMAL,,I MUNICIPALIDAD DE LOTA,Región del Biobío,CAPACITACION UNIVERSAL 2026,10000000.0,False,True,,,,capacitación,3019-18-LE26,2026-07-28T16:32:01.84,2026-08-10T15:07:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=3019-18-LE26
20,MEDIA,NORMAL,,ILUSTRE MUNICIPALIDAD DE CURARREHUE,Región de la Araucanía,ADQUISICIÓN DE TALLER DE TÉCNICAS DE INJERTACIÓN Y FORMACIÓN DE FRUTALES PARA 173 AGRICULTORES PDTI DE LA COMUNA DE CURARREHUE,9861000.0,False,True,,,,formación,3938-26-L126,2026-08-03T16:43:05.97,2026-08-10T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=3938-26-L126
20,ALTA,NORMAL,,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Región de la Araucanía,ADQ. EQUIPAMIENTO JARDINES INTEGRA ARAUCANIA,11500000.0,False,False,,,jardines infantiles,Integra,707423-55-LE26,2026-07-23T15:46:13.57,2026-08-10T15:01:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=707423-55-LE26
20,ALTA,NORMAL,,,,P02-SEP-SALIDAS PEDAGOGICAS-TODOS EE ORDEN DE COMPRA DESDE 1393093-59-B226,,False,False,,,SEP · salidas pedagógicas,,1393093-440-SE26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1393093-440-SE26
20,ALTA,NORMAL,,,,"YM, RBD 7206 - ESCUELA RURAL 21 DE MAYO DE PAILLACO, SOL 3188, SERVICIO SALIDA PEDAGOGICA, SEP, 2208999 Orden de Compra generada por invitación a compra ágil: 1432083-1045-COT26",,False,False,,,SEP · salida pedagógica,,1432083-1827-AG26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1432083-1827-AG26
20,ALTA,NORMAL,,,,"ADQUSICION ENTRADAS SALIDA PEDAGOGICA PARQEU TEMÁTICO KIDZANIA, PTTO SEP , PARA ESCUELA CORNELIA OLIVARES, ESCUELA LUIS GALDAMES, compra ágil: 2680-151-COT26",,False,False,,,SEP · salida pedagógica,,2680-184-AG26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2680-184-AG26
20,ALTA,NORMAL,,,,"ADQUSICION COLACIONES,SALIDA PEDAGOGICA , PTTO SEP ,PARA ESCUELA LUIS GALDAMES,ESCUEAL CORNELIA OLIVAREScompra ágil: 2680-155-COT26",,False,False,,,SEP · salida pedagógica,,2680-185-AG26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2680-185-AG26
20,BAJA,NORMAL,,,,MZZ 706 FAEP2025 Mobiliario,,False,False,FAEP municipios pre-traspaso a SLEP,,,,2711-197-AG26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2711-197-AG26
20,ALTA,NORMAL,,,,ADQ. ESCANER E IMPRESORA MULTIFUNCIONAL DEM SEP 10% - Orden de Compra generada por invitación a compra ágil: 4057-607-COT26,,False,False,,,SEP · DEM,,4057-552-AG26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=4057-552-AG26
20,ALTA,NORMAL,,,,"WRC (2567)  Confección de Corpóreos para desarrollo de montaje dancístico- musical actividad pedagógica del Colegio María Sylvester Rasch, con cargo a Subvención Escolar Preferencial (SEP).",,False,False,,,subvención escolar preferencial · SEP,,4262-12-AG26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=4262-12-AG26
20,ALTA,NORMAL,,JUNTA NACIONAL DE JARDINES         INFANTILES,Región Metropolitana de Santiago,CURSO “CONTEXTOS PARA EL APRENDIZAJE PLANIFICACIÓN Y EVALUACIÓN PARA EL BIENESTAR INTEGRAL: RESPUESTAS SENSIBLES Y OPORTUNAS EN CONTEXTOS EDUCATIVOS DIVERSOS” EN JARDINES INFANTILES VTF Y SLEP EN MODALIDAD E- LEARNING,,False,False,,,jardines infantiles,JUNJI · SLEP,599-17-LP26,2026-07-23T16:17:03.21,2026-08-12T18:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=599-17-LP26
20,ALTA,NORMAL,,JUNTA NACIONAL DE JARDINES         INFANTILES,Región Metropolitana de Santiago,CURSO “SENSIBILIDAD EDUCATIVA Y TRANSFORMACIÓN DE LA PRÁCTICA PEDAGÓGICA PARA EL BIENESTAR DE NIÑOS Y NIÑAS DESDE EL ENFOQUE DE DERECHOS PARA JARDINES INFANTILES VTF y SLEP EN MODALIDAD E- LEARNING,,False,False,,,jardines infantiles,SLEP · formación,599-20-LP26,2026-07-29T13:43:22.173,2026-08-18T18:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=599-20-LP26
20,MEDIA,NORMAL,,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LOS ANDES,Región de Valparaíso,Servicio de capacitación docentes y asistentes,,False,False,,,,SLEP · servicio local de educación · capacitación · formación,1375753-24-LP26,2026-07-21T10:35:00,2026-08-14T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1375753-24-LP26
20,MEDIA,NORMAL,,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE CHILOÉ,Región de los Lagos,SUMINISTRO DE SERVICIOS MENORES PARA MANTENCIÓN Y RECARGA DE EXTINTORES DE LOS ESTABLECIMIENTOS EDUCACIONALES DEL SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE CHILOÉ,,False,True,,,,servicio local de educación,1393093-88-LE26,2026-08-03T13:01:38.893,2026-08-12T16:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1393093-88-LE26
20,MEDIA,NORMAL,,ILUSTRE MUNICIPALIDAD DE ALTO BIOBIO,Región del Biobío,CONTRATACIÓN DE PROGRAMA INTEGRAL DE CAPACITACIÓn,,False,True,,,,capacitación,4829-38-LE26,2026-08-03T17:10:44.51,2026-08-14T16:40:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=4829-38-LE26
15,MEDIA,NORMAL,,I MUNICIPALIDAD DE TALCA,Región del Maule,"ADQUISICIÓN ""CAPACITACIÓN MULTIDISCIPLINARIA PARA EL DESARROLLO INTEGRAL DE NIÑOS Y ADOLESCENTES CON TRASTORNO DEL ESPECTRO AUTISTA""",7164899.0,False,True,,,,capacitación,2292-45-L126,2026-07-27T12:06:32.783,2026-08-05T16:30:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2292-45-L126
15,ALTA,NORMAL,,I MUNICIPALIDAD DE COQUIMBO,Región de Coquimbo,CAPACITACIÓN TEA A PROFESIONALES DE APS,8311033.0,False,False,,,TEA,capacitación,2448-100-LE26,2026-07-26T10:48:00,2026-08-10T16:30:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2448-100-LE26
15,ALTA,NORMAL,,CORPORACION MUNICIPAL DE PENALOLEN PARA EL DESARROLO SOCIAL CORMUP,Región Metropolitana de Santiago,10032827 EVALUACIONES Y CAPACITACIÓN TEA Y NEURODI,22000000.0,False,False,,,TEA,capacitación,514862-103-LE26,2026-07-29T12:48:59.93,2026-08-10T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=514862-103-LE26
15,ALTA,NORMAL,,SERVICIO LOCAL DE EDUCACION DE PUERTO CORDILLERA,Región de Coquimbo,Servicio de producción para salida pedagógica; Escuela Aníbal Pinto,1936725.0,False,False,,,salida pedagógica,servicio local de educación,1002588-83-L126,2026-07-30T16:13:07.923,2026-08-07T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1002588-83-L126
15,ALTA,NORMAL,,SERVICIO LOCAL DE EDUCACION DE PUERTO CORDILLERA,Región de Coquimbo,"SERVICIO DE PRODUCCIÓN PARA SALIDA PEDAGÓGICA CIUDAD DE SANTIAGO, ESCUELA PATRICIO LYNCH",6000000.0,False,False,,,salida pedagógica,servicio local de educación,1002588-85-L126,2026-08-03T09:58:16.303,2026-08-10T16:53:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1002588-85-L126
15,MEDIA,NORMAL,,CORPORACION MUNICIPAL DE MARÍA PINTO,Región Metropolitana de Santiago,Cursos de capacitación para la Dirección de Salud,,False,True,,,,capacitación,1389585-13-L126,2026-07-28T17:18:54.81,2026-08-10T18:30:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1389585-13-L126
15,MEDIA,NORMAL,,I MUNICIPALIDAD DE COIHUECO,Región del Ñuble,CONTRATACION DE SERVICIOS PARA ESTABLECER UNIDADES DEMOSTRATIVAS Y CAPACITACION PARA EL PROGRAMA PRODESAL DE COIHUECO,5350000.0,False,True,,,,capacitación,229-88-L126,2026-08-03T17:04:46.61,2026-08-10T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=229-88-L126
